Date,Open,High,Low,Close,Volume
2022-06-01,0.000186,0.000189,0.00017,0.000184,41607
2022-06-02,0.000184,0.0005,0.000172,0.00048,57158
2022-06-03,0.00048,0.00075,0.00035,0.000589,137551
2022-06-04,0.000589,0.000615,0.000452,0.000557,155008
2022-06-05,0.000557,0.00056,0.000455,0.000499,115634
2022-06-06,0.000499,0.000499,0.00025,0.0004,100250
2022-06-07,0.0004,0.00045,0.00038,0.00044,90467
2022-06-08,0.00044,0.000544,0.00038,0.000499,106472
2022-06-09,0.000499,0.00056,0.00041,0.000558,132960
2022-06-10,0.000558,0.00056,0.00048,0.000519,132038
2022-06-11,0.000519,0.000519,0.000435,0.000483,105528
2022-06-12,0.000483,0.000485,0.00041,0.000433,92017
2022-06-13,0.000433,0.000482,0.00036,0.000387,97205
2022-06-14,0.000387,0.000411,0.0003,0.000313,90250
2022-06-15,0.000313,0.00043,0.000313,0.000389,84682
2022-06-16,0.000389,0.000423,0.000356,0.000371,83774
2022-06-17,0.000371,0.00042,0.0003,0.000356,85883
2022-06-18,0.000356,0.000382,0.00027,0.000329,69085
2022-06-19,0.000329,0.000379,0.000284,0.000317,69793
2022-06-20,0.000317,0.000373,0.000273,0.000371,74616
2022-06-21,0.000371,0.000599,0.000371,0.00044,103277
2022-06-22,0.00044,0.00044,0.00033,0.000358,87761
2022-06-23,0.000358,0.00039,0.000325,0.000372,73484
2022-06-24,0.000372,0.000384,0.00033,0.000384,79448
2022-06-25,0.000384,0.0004,0.000325,0.000352,76193
2022-06-26,0.000352,0.00037,0.000326,0.000367,79660
2022-06-27,0.000367,0.0004,0.000331,0.000354,82135
2022-06-28,0.000354,0.000374,0.000349,0.000356,74917
2022-06-29,0.000356,0.000414,0.000352,0.000414,86205
2022-06-30,0.000414,0.000414,0.000312,0.000322,75836
2022-07-01,0.000322,0.000361,0.000286,0.000333,75354
2022-07-02,0.000333,0.000341,0.00028,0.000307,67708
2022-07-03,0.000307,0.000335,0.000259,0.0003,68436
2022-07-04,0.0003,0.000322,0.00025,0.000282,66932
2022-07-05,0.000282,0.00033,0.000211,0.000269,64569
2022-07-06,0.000269,0.000283,0.000257,0.00028,59755
2022-07-07,0.00028,0.00028,0.000235,0.000274,58106
2022-07-08,0.000274,0.00028,0.000238,0.000248,55533
2022-07-09,0.000248,0.00027,0.000222,0.000236,51951
2022-07-10,0.000236,0.000259,0.000207,0.00024,50929
2022-07-11,0.00024,0.00024,0.0002,0.00024,52467
2022-07-12,0.00024,0.000284,0.00022,0.000245,50757
2022-07-13,0.000245,0.000259,0.000222,0.000231,53830
2022-07-14,0.000231,0.000259,0.000219,0.000244,49153
2022-07-15,0.000244,0.000259,0.000195,0.00025,55851
2022-07-16,0.00025,0.00026,0.00022,0.000233,55698
2022-07-17,0.000233,0.000243,0.00022,0.000243,50405
2022-07-18,0.000243,0.000243,0.000226,0.000243,48691
2022-07-19,0.000243,0.000243,0.000218,0.000218,50303
2022-07-20,0.000218,0.000237,0.000202,0.000208,47467
2022-07-21,0.000208,0.000267,0.000205,0.00021,49388
2022-07-22,0.00021,0.00024,0.000205,0.000235,45933
2022-07-23,0.000235,0.00024,0.000213,0.000221,49073
2022-07-24,0.000221,0.00024,0.000212,0.000239,52519
2022-07-25,0.000239,0.000245,0.000213,0.000233,47364
2022-07-26,0.000233,0.000377,0.000225,0.000267,61909
2022-07-27,0.000267,0.00035,0.000234,0.000288,72349
2022-07-28,0.000288,0.000396,0.000253,0.000396,91429
2022-07-29,0.000396,0.00054,0.000342,0.000529,135548
2022-07-30,0.000529,0.00071,0.000425,0.00068,187181
2022-07-31,0.00068,0.0009,0.0006,0.00087,212276
2022-08-01,0.00087,0.0015,0.000455,0.00077,294093
2022-08-02,0.00077,0.00085,0.0007,0.000797,192724
2022-08-03,0.000797,0.00082,0.000563,0.000704,174855
2022-08-04,0.000704,0.000704,0.00061,0.000614,145607
2022-08-05,0.000614,0.0007,0.0006,0.000682,147208
2022-08-06,0.000682,0.000682,0.0006,0.00061,143118
2022-08-07,0.00061,0.000643,0.00051,0.0006,151395
2022-08-08,0.0006,0.000673,0.000599,0.000673,149868
2022-08-09,0.000673,0.00075,0.000631,0.00068,154758
2022-08-10,0.00068,0.00081,0.00063,0.000691,174499
2022-08-11,0.000691,0.00078,0.00065,0.00076,159737
2022-08-12,0.00076,0.00095,0.000731,0.0009,201643
2022-08-13,0.0009,0.0012009999,0.0009,0.0011390001,295664
2022-08-14,0.0011390001,0.0014900001,0.001085,0.001306,364175
2022-08-15,0.001306,0.0014600001,0.00121,0.00138,396225
2022-08-16,0.00138,0.00245,0.00138,0.0024300001,600399
2022-08-17,0.0024300001,0.003423,0.0020999999,0.003423,714245
2022-08-18,0.003423,0.0037499999,0.00285,0.0032029999,1057735
2022-08-19,0.0032029999,0.003519,0.001905,0.001929,882936
2022-08-20,0.001929,0.0027050001,0.001642,0.001985,580005
2022-08-21,0.001985,0.0025780001,0.00193,0.002411,532931
2022-08-22,0.002411,0.00291,0.002262,0.0024079999,606564
2022-08-23,0.0024079999,0.0033189999,0.0024079999,0.0028969999,775355
2022-08-24,0.0028969999,0.0035999999,0.002726,0.0034980001,844158
2022-08-25,0.0034980001,0.0034980001,0.00296,0.003064,820421
2022-08-26,0.003064,0.0030650001,0.0023960001,0.002541,749391
2022-08-27,0.002542,0.002847,0.002294,0.002659,634739
2022-08-28,0.002659,0.002899,0.002319,0.002319,608780
2022-08-29,0.00232,0.0027970001,0.0023089999,0.0025859999,613444
2022-08-30,0.0025859999,0.002996,0.0025309999,0.0029140001,661630
2022-08-31,0.0029140001,0.0029170001,0.0026199999,0.0026990001,631790
2022-09-01,0.0026990001,0.002998,0.0026,0.0029269999,684628
2022-09-02,0.0029269999,0.0029529999,0.0024019999,0.0026980001,732197
